breed,origin,horns,purpose,physical_traits,milk_yield,color,other_info
Pulikulam,"Originated from Pulikulam village, Sivaganga district, Tamil Nadu; breeding tracts in Madurai, Sivaganga, and Virudhunagar districts; also known as Palingu Maadu, Mani Maadu, Jallikattu Maadu, Mattu Maadu, or Kilakattu Maadu.","Long, extended horns curved outward, upward, backward, and then inward with sharp pointed tips widely spaced apart.",Draught and game breed; used in ploughing and traditional Jallikattu events.,"Small-sized, compact, strong-bodied, and active; short legs; narrow dark face with tight skin; small pointed ears; prominent forehead with central groove; dark large hump in males, smaller in females; thick dewlap; short penis sheath flap; strong legs and feet adapted for running; udder small and not well-developed; males ~259 kg, females ~208 kg; male height ~117 cm, female height ~112 cm; body length males ~119 cm, females ~114 cm; chest girth males ~150 cm, females ~139 cm.",~0.5–3 kg/day; average ~1.25 kg/day; calving interval 1.5–2 years; first calving at 4–4.5 years.,"Males are dark grey; females are white or grey; white markings on forehead, limbs, and tail; muzzle, eyelids, hooves, and tail switch are black.","Maintained as migratory herds by traditional Konar and Thevar communities; lifespan ~20 years with 8–10 calvings; only 10–15% of cows milked for home use; population declined from ~45,000 (2006) to ~7,500 (2013); conservation efforts led by SEVA (Sustainable Agriculture and Environmental Voluntary Action), Madurai; vital for organic farming and rural livelihoods."
Alambadi,"Originated from Alambadi village on the banks of river Kaveri, Dharmapuri district, Tamil Nadu; also found in Erode district and hilly regions of upper Kaveri basin (Mettur, Pennagaram, Kollegal, Bangalore rural). Believed to have descended from Hallikar breed of Mysore. Bred mainly by Konga Vellalas, Lingayats, Vanniyars, and Vokkaligas.",Sweeping horns curving backward and ending in sharp points.,Draught breed; used for agricultural work and transport.,"Medium to large size with deep, compact body and loose frame; well-arched ribs, heavy shoulders, tight skin; dark moderately long head with narrow face and prominent bulging forehead; short thick neck; broad thick dewlap; small pointed ears; large well-developed hump; small to medium penis sheath; medium long tail tapering to black switch; short strong legs; large hard feet with prominent coronary band; narrow sloping hindquarters; males ~347 kg, females ~282 kg; male height ~124 cm, female ~115 cm; male body length ~134 cm, female ~124 cm; chest girth males ~167 cm, females ~155 cm.",Moderate yield; milk quality fair but generally poor milkers.,"Coat varies in shades of grey, dark grey, black, and fawn; some with flesh-colored or dark skin with black muzzle; white markings on forehead, limbs, and tail.","Highly heat-tolerant and disease-resistant; can survive on forest grazing and dry fodder; semi-wild lifestyle (July–January in forests, penned at night); calving interval 16–24 months; provides manure for agriculture during harvest seasons; population critically low and nearing extinction; decline due to crossbreeding, mechanization, and loss of grazing land; conservation urgently needed to preserve this rare native breed."
Tharparkar,Originated from the Thar Desert of Rajasthan; native to Tharparkar district of southeast Sindh (now in Pakistan); also found along the Indo-Pak border in western Rajasthan and extending up to the Rann of Kutch in Gujarat.,"Lyre-shaped horns curving gradually upward and outward; males have thicker, shorter, straighter horns.",Dual-purpose (milk and draught breed).,"Medium-sized, strongly built, deep-bodied cattle with straight limbs and good feet; average height ~138 cm; males ~408 kg, females ~350 kg; head medium-sized with broad, slightly convex forehead; full bright eyes with black eyelashes; long broad semi-pendulous ears facing forward; fine mellow skin with moderate dewlap; firm moderate hump (larger in males); semi-pendulous sheath in males; variable prominent navel flap in females; light shoulders; comparatively short legs; hard black hooves of moderate size; active and alert carriage.",~2000 kg per lactation (≈ 7–8 litres/day under good care).,"Generally white or gray with black shading on neck, hump, and hindquarters; light gray stripe along the backbone; coat deepens in color during winter and pregnancy; black, red, or mixed color variants occasionally occur.","Highly drought- and disease-resistant; hardy under extreme desert conditions; age at maturity ~36 months, first calving ~45 months, calving interval ~410 days; thrives even under heat and feed scarcity; selected as part of National Agriculture Development Programme for expansion in Tamil Nadu; cattle transported from Jaisalmer to Chettinad adapted well, producing 7–8 litres milk/day; Surabhivana Gaushala supports conservation and promotion of this resilient native dual-purpose breed."
Kankrej,"Originated from the Kankrej district of North Gujarat, India; also known as Bannai, Nagar, Talabda, Vaghiyar, Wagad, Waged, Wadhiar, Wadhir, or Wadial.",Strong lyre-shaped horns covered with skin higher up than in other breeds.,Dual-purpose: valued for both milk and powerful draught work.,"Large, heavy yet active and strong cattle; broad forehead slightly dished at center; large pendulous open ears; short face with slightly upturned nose; medium-thick, darkly pigmented, loose skin; thin but pendulous dewlap; males have prominent but less firm humps; shapely legs with small, round, durable feet; sleek coat; black tail switch.",Fair milk producers; good lactation yield for dual-purpose breed.,"Coat color ranges from silver gray to iron gray or steel black; males usually darker on forequarters, hump, and hindquarters; hair soft and short with black tail switch.",One of the heaviest and most prized Indian cattle breeds; highly resistant to tick fever and other diseases; excellent heat tolerance and pest resistance; bulls commonly used for agricultural and road transport work; foundation breed for the Guzerat cattle in Brazil and similar strains in Latin America and the USA; known for stamina and endurance in hot climates.
Ongole,"Originated from the coastal districts of Guntur, Prakasham, and Nellore in Andhra Pradesh; reared across Kurnool, Cuddapah, and parts of Mahabubnagar; developed under farmers’ care in the deltas of Penna, Krishna, and Godavari rivers.","Short, stumpy horns growing outward and backward; thick at base and firm without cracks.",Dual-purpose: valued for both milk and draught work (ploughing and cart pulling).,"Large-sized cattle with loosely knit frames and long bodies; short neck; long, muscular limbs; broad forehead; elliptical eyes with black ring and eyelashes; deep and wide chest; strong legs with straight toes; short tail with sloping tail head; moderately long, slightly drooping ears; large fleshy dewlap hanging to navel flap; slightly pendulous sheath; erect, well-developed hump in bulls; bulls weigh ~500 kg, 1.5 m height, 1.6 m length, 2 m girth; cows weigh 432–455 kg.",600–2518 kg per lactation; ~5% butterfat; lactation lasts about 279 days.,"Glossy white coat; some males have grey markings on hump and hindquarters; skin medium-thick, mellow, elastic with occasional black mottled markings.","First Indian cattle breed to gain global fame; known for toughness, rapid growth, and disease resistance; exported widely to tropical countries (Americas, West Indies, SE Asia, Australia); saved South American cattle population during “mad cow disease” crisis; now endangered in India due to mechanization; ICAR running conservation programs for pure Ongole bulls."
Krishna_Valley,"Originated in areas drained by the Krishna, Ghataprabha, and Malaprabha rivers across Bijapur, Bagalkot, and Belgaum districts of Karnataka; formerly extended to Satara, Sangli, and Solapur (Maharashtra) and Raichur (Karnataka); now mainly found in northern Karnataka. Developed through crossbreeding of Gir, Kankrej (Gujarat), Ongole (Andhra Pradesh), and Mysore-type cattle.","Medium-sized horns emerging from the side of the poll, curving outward, upward, and inward with pointed tips.",Dual-purpose: used for draught/agricultural work and moderate milk.,"Docile and friendly temperament; massive body with deep, broad chest; short body with large barrel; short, thick, powerful legs with soft hooves; males ~145 cm height, 153 cm body length, 196 cm chest girth, ~550 kg weight; females ~122 cm height, 132 cm body length, 168 cm chest girth, ~325 kg weight; narrow face with broad, bulging forehead and shallow central groove; small curved horns; small, pointed ears; short thick neck; well-developed pendulous dewlap and slightly pendulous sheath.",900–1200 kg per lactation (~300+ days).,"Predominantly gray-white; males often darker on fore and hindquarters; females lighter; variations include brown-white, black-white, and mottled coats.",Breed population has declined by ~90%; NBAGR and BAIF are running conservation projects in native tracts; awareness programs organized for preservation; Surabhivana Gaushala participates in the national movement to conserve native ‘Desi’ breeds by providing shelters and promoting protection of Krishna Valley cattle.
Deoni,"Originated from the Marathwada region of Maharashtra; also found in adjoining parts of Karnataka and Andhra Pradesh. Developed over ~200 years from a mixture of Gir, Dangi, and local cattle strains.","Medium-sized, thick, wide apart, emerging sideways with blunt tips.",Dual-purpose: good milk yield and strong draught bullocks for intensive cultivation.,"Medium to large build; masculine and alert head; prominent broad forehead; long drooping ears with curved tips; clean, straight, powerful limbs with black symmetrical hooves; well-developed hump; deep wide chest; thick pendulous dewlap; bulls weigh 620–680 kg, cows 432–485 kg; height ~134 cm (bulls), ~122 cm (cows).",880–1580 kg per lactation (~300 days); ~4.3% butterfat.,"Three color variations — Wannera (white with black sides of face), Balankya (white with black spots on lower body), and Shevera (white with irregular black spots). Head color varies: black & white in Wannera/Shevera, fully white in Balankya.","Tough, disease-resistant, and well-adapted to tropical drought areas; reared mainly on grazing lands; KVAFSU (Bidar) runs conservation programs to improve the Deoni breed."
Jersey,"Originated on the Island of Jersey, a small British island in the English Channel off the coast of France; one of the oldest pure dairy breeds (~600 years old).","Usually small, curved horns; often dehorned for management.",Pure dairy breed—renowned for high butterfat and milk solids; highly efficient milk producer per body weight.,"Small, refined, compact build; cows weigh 800–1200 lbs; bulls 1200–1800 lbs; both sexes darker at extremities.","Produces 13× its body weight in milk per lactation; average 4.84% butterfat, 3.95% protein.","Varies from light gray/mouse color to dark fawn or almost black; commonly darker around hips, head, and shoulders; medium shades preferred; dark tongue and tail switch typical.",Adaptable to varied climates globally; excellent grazers; docile yet alert; bulls less docile; widely used to improve milk efficiency worldwide.
Holstein_Friesian,"Originated in Frisia, a region spanning the Netherlands and northern Germany; developed as a specialized dairy breed in the Netherlands and refined in North America.","Usually short, curved horns; many are dehorned for safety and management.","Specialized dairy breed, dominant in industrial milk production worldwide.","Large, tall, robust build; cows weigh 680–770 kg; calves 40–50 kg at birth; deep barrel; well-developed udder; straight back.","~10,220 kg milk per year with 3.7% butterfat and 3.1% protein.",Distinctive black-and-white or red-and-white piebald markings; each cow has a unique pattern.,Most widespread dairy breed globally; cornerstone of modern dairy industry; adaptable but high feed and management requirements.
Brown_Swiss,"Originated in the north-eastern part of Switzerland, particularly the canton of Schwyz; one of the oldest dairy breeds in the world.","Found in both horned and polled varieties; short, white horns darken at the tips.",Dual-purpose (dairy and beef); highly valued for milk and cheese production.,Medium to large-framed cattle; cows weigh 500–700 kg; bulls 800–1100 kg; strong limbs; long lifespan (12–15 years).,6000–9000 liters per lactation with 4% butterfat and 3.5–3.9% protein.,"Typically light brown, ranging from silvery-gray to dark brown; creamy white muzzle, dark nose, and dark-blue eye pigmentation.","Renowned for docility, longevity, and adaptability; ideal fat-protein ratio for cheese; fertile and disease-resistant."
Danish_Red,Developed in Denmark from local cattle crossed with Angeln cattle; spread across Europe and tropics for crossbreeding.,"Generally horned, with short, forward-curving horns.",Dual-purpose breed used for both milk and meat production.,"Medium-to-large framed cattle; cows weigh 550–650 kg, bulls 900–1000 kg; strong frame; deep chest.","8,000 kg per lactation; 4.17% butterfat and 3.5% protein.",Solid red coat varying from light reddish-brown to dark mahogany; often with white markings on the udder and tail.,"Hardy, disease-resistant, and adaptable; known for fertility, longevity, and high-quality milk and meat."
Murrah,"Originated in India, primarily in Haryana and Delhi; also found in Punjab and Western UP; exported worldwide for improvement programs.","Short and tightly coiled, set close to the head.","Primarily a dairy breed, also valued for breeding and improvement programs.",Massive body; broad hips; compact structure; strong frame; well-developed udder.,1003–2057 kg per lactation; average 1752 kg; 6.9–8.3% fat.,"Usually jet black, occasionally with white markings on the tail switch.","High milk fat, adaptability, and international demand; improves productivity and disease resistance in other breeds."
Surti,"Originated in Surat district of Gujarat, India, with breeding tract extending over Vadodara, Bharuch, Kheda, and Surat.","Flat, sickle-shaped horns turning upward at the tips.","Primarily a dairy breed, known for high milk fat and efficient feed conversion.","Medium-sized and lighter body; compact, active, well-proportioned; straight back; fine limbs.",Average 1667 kg per lactation with 7.02% fat.,Coat varies from rusty brown to silver-grey or black; skin is black or brown.,Known for high milk fat and SNF content; low feed intake; ideal for small farmers in low-input systems.
Jaffrabadi,"Originated in the Saurashtra region of Gujarat, particularly around the Gir Forest. Named after Jaffarabad in Gujarat. Found in Amreli, Bhavnagar, Jamnagar, Junagadh, Porbandar, and Rajkot districts.","Large, flat, thick horns curving downward and sideways, then upward and inward, forming a ring-like shape.","Primarily dairy, also used for draught and meat due to large size.","Massive, muscular frame; males ~700 kg, females ~620 kg; dome-shaped forehead, small eyes.",Average 2239 kg per lactation (7.7% fat). Range 2150–2340 kg.,"Usually jet black, though some may have a white or grey tail switch.",Known for strength and endurance; adapted to hot and dry Saurashtra climate; high fat milk yield.
Bhadawari,"Originated in Bhadawar State (Uttar Pradesh & Madhya Pradesh). Found in Bah (Agra), Chakarnagar, Barhpura (Etawah), Ambah, Porsa (Morena), and Mehgaon (Bhind).","Black horns curving outward, downward, then backward along neck before turning upward at tips.",Dual-purpose breed for milk and draught; known for high-fat milk.,"Medium-sized, compact body, strong limbs, coppery sheen coat; adapted to ravine regions.",Average 1294 kg per lactation; 7.88% fat; up to 12.8% recorded.,Blackish copper to light copper; wheat-colored legs; two white lines ('Chevron') on neck.,"Efficient feed converter; uses low-quality roughage; suited to hot, dry climates."
Nili_Ravi,"Originated between Sutlej and Ravi rivers in undivided Punjab (India & Pakistan). Found in Amritsar, Gurdaspur, Ferozepur, Lahore, Multan, and Bahawalpur.","Moderately long, flat horns curving backward and outward.","Primarily dairy breed, high milk quality similar to Murrah.","Large body, walled eyes, soft skin, well-developed udder; similar to Murrah but lighter color.",Average 1850 kg per lactation (6.8% fat).,"Black with white markings on forehead, muzzle, legs, and tail ('Panch Kalyani'); bluish-white eyes.","Excellent dairy buffalo; docile, fertile, heat-tolerant; name derived from Sutlej River's blue waters."
Mehsana,"Developed by crossing Murrah and Surti breeds; originated in Mehsana district, Gujarat.","Sickle-shaped horns, curving upward more than Surti but less than Murrah.",Dairy breed valued for high yield and rich milk fat.,"Medium-sized, compact, bright bulging eyes, strong body, good udder development.","Average 1988 kg per lactation (5.2–9.5% fat, avg 6.83%).","Predominantly black, some black-brown or brown.",Known for good lactation persistency; hardy and climate-adapted; combines traits of Murrah and Surti.
Nagpuri,"Originates from Vidarbha region (Akola, Amravati, Yavatmal, Wardha, and Nagpur districts, Maharashtra).","Long, flat, curved backward nearly to shoulders, tips upward.",Dual-purpose: milk and draught.,"Medium-large, sturdy build, long horns, strong limbs, compact body.",Average 1039 kg per lactation (7.0–8.8% fat).,"Black with white patches on face, legs, and tail tip; Puranthadi strain slightly brownish.","Adapted to hot, dry Vidarbha climate; low maintenance; efficient; strong draught breed."
Toda,"Named after Toda tribe of Nilgiri Hills, Tamil Nadu; thrives in high rainfall, humid areas.","Long, thick, outward and upward curving horns forming crescent shape.","Used for draught, ceremonial, socio-cultural, and religious purposes.","Medium, strong, narrow dense hair band on back, two chevron markings on neck.",Average ~500 kg per lactation (8.22% fat).,"Calves fawn at birth, turning ash-grey; adults fawn or ash-grey.",Culturally significant to Toda tribe; well adapted to humid hills; high-fat milk.
Banni,"Banni area of Kutch district, Gujarat; maintained by Maldharis under extensive night-grazing system",Tightly coiled vertically with single or double coiling,High milk yield; hardy dairy breed,"Medium to large compact body covered with hair; elongated straight forehead; absence of dewlap; medium naval flap; well-developed, round, squarely placed udder with four uniformly developed quarters and conical teats",Average 2857 kg/lactation (range 1095–6054 kg); fat content ~6.65%,Mostly black; some copper-colored individuals,Also known as 'Kutchi' or 'Kundi'; adapted to harsh arid Banni grasslands; grazes at night to avoid heat stress; tolerant to drought and water scarcity; disease-resistant; managed by Maldhari pastoralists using traditional systems
Dangi,"Dangs district of Gujarat; Thane, Nasik, Ahmednagar districts of Maharashtra","Short and thick, tips pointing laterally (some inward or downward)","Draught purpose – used for ploughing, harrowing, carting timber",Small head with slightly protruding forehead; oily skin secretion protects from rain; adapted to heavy rainfall and hilly regions,Avg. 430 kg/lactation; range 175–800 kg; 4.3% fat,White coat with red or black spots unevenly distributed,Also known as 'Kandadi'; excellent worker in heavy rainfall and rice field areas
Kasargod,"Kasaragod district of Kerala; also found in Mangalore, Coorg, and parts of Karnataka","Short to medium, curved upward and outward; variation in length and shape",Dual-purpose (draught + low-yield milk); ideal for zero-budget farming,"Small-sized, well-proportioned; straight forehead; medium horizontal ears; small bowl-shaped udder; long tail; height ~107 cm (males), 95 cm (females); high heat tolerance and disease resistance",Around 1 litre/day; calving interval 15–18 months,"Usually black or shades of chocolate, brown, or white; spotted variants also seen; black muzzle, eyelids, tail switch, hoofs, and horns","Also called 'Sahya Pashu'; highly sustainable; thrives on minimal feed; less prone to mastitis; promoted by Kasaragod Dwarf Conservation Society (est. 2010); under study at Bela Cattle Farm, Kerala"
Kenkatha,"Bundelkhand region along river Ken — Panna, Chhatarpur, Tikamgarh (Madhya Pradesh) and Lalitpur, Hamirpur, Banda (Uttar Pradesh)","Emerge from outer angles of poll, directed forward, ending in sharp points",Draught purpose — used for cultivation in rocky areas and light road work,"Small but compact, sturdy body; short and broad head with dished forehead; sharply pointed ears; short but strong limbs; straight back with drooping quarters; hard feet; developed hump; pendulous sheath with black tip; moderate dewlap; medium tail with black switch",1–3 kg/day (avg. 500–600 kg/lactation over 6–8 months),"Various shades of grey and black, rarely white; grey on barrel to dark grey elsewhere",Extremely hardy; thrives on poor feed and rough terrain; suited for hilly Bundelkhand; declining population due to interbreeding; conservation efforts needed
Kherigarh,Kheri district of Uttar Pradesh,"Upstanding, curving outward and upward; thick at base",Draught purpose — bullocks are fast and efficient workers,Small but active animals; compact build suited for field work,300–500 kg per lactation,"White coat; some grey shading, especially on face","Also known as 'Kheri', 'Kharigarh', or 'Khari'; hardy and agile breed adapted to local conditions"
Malnad_gidda,"Western Ghats region — Chikmagalur, Dakshin Kannada, Hassan, Kodagu, Shimoga, Uttar Kannada, and Udupi districts of Karnataka","Small, straight, outward, upward and inward","Dual-purpose — milk, manure, and light draught power","Small, compact body (~90 cm tall); black tail switch; small hump; small bowl-shaped udder; hardy and disease resistant",3–5 kg/day (elite cows); avg. 220 kg/lactation,Predominantly black with light fawn shades on thigh and shoulder,"Also called 'Gidda', 'Uradana', 'Varshagandhi'; thrives in zero-input systems; highly adapted to heavy rainfall and hilly terrain"
Nagori,Nagaur District of Rajasthan; also found in Bikaner and Jodhpur districts,"Moderate size; emerge from outer angles of poll, curve outward, upward, then inward at tips","Draught purpose — ploughing, cultivation, transportation; excellent trotters","Fine, big, active yet docile; long deep body; long limbs; straight back; muscular shoulders; small strong hooves; long narrow face; large pendulous ears; well-developed hump; small dewlap; moderate tail with black tuft",Avg. 603 kg/lactation (range: 479–905 kg); 5.8% fat,White or grey coat,Resembles Hariana and Kankrej breeds; hardy and fast; adapted to Rajasthan’s dry climate; used widely for light transport in Rajputana
